"name","group"
"plan leather goods manufacture","skill"
"monitor operations in the leather industry","skill"
"develop manufacturing recipes","skill"
"manage environmental impact of operations","skill"
"execute working instructions","skill"
"measure working time in footwear and leather goods production","skill"
"leather technology","skill"
"leather physical testing","skill"
"pre-stitching processes and techniques for footwear and leather goods","skill"
"leather finishing technologies","skill"
"prepare leather goods samples","skill"
"operate automatic cutting systems for footwear and leather goods","skill"
"determine lather goods warehouse layout","skill"
"test chemical auxiliaries","skill"
"differentiate nuance of colours","skill"
"manage quality of leather throughout the production process","skill"
"apply footwear finishing techniques","skill"
"industrial heating systems","skill"
"mining, construction and civil engineering machinery products","skill"
"use thermal management","skill"
"research locations for wind farms","skill"
"make electrical calculations","skill"
"manage engineering project","skill"
"carry out energy management of facilities","skill"
"design wind turbines","skill"
"adapt energy distribution schedules","skill"
"power electronics","skill"
"electric generators","skill"
"analyse energy consumption","skill"
"maintain photovoltaic systems","skill"
"inspect facility sites","skill"
"inspect wind turbines","skill"
"use software tools for site modelling","skill"
"develop material testing procedures","skill"
"create AutoCAD drawings","skill"
"examine engineering principles","skill"
"assess project resource needs","skill"
"coordinate electricity generation","skill"
"electronic test procedures","skill"
"electronic equipment standards","skill"
"integrated circuits","skill"
"microassembly","skill"
"microsensors","skill"
"test microelectronics","skill"
"assemble microelectronics","skill"
"microsystem test procedures","skill"
"consumer electronics","skill"
"surface-mount technology","skill"
"solder components onto electronic board","skill"
"maintain microelectronics","skill"
"operate SMT placement equipment","skill"
"keep heavy construction equipment in good condition","skill"
"operate tower crane","skill"
"secure heavy construction equipment","skill"
"set up tower crane","skill"
"operate heavy construction machinery without supervision","skill"
"use remote control equipment","skill"
"perform minor repairs to equipment","skill"
"test soil load bearing capacity","skill"
"perform technical tasks with great care","skill"
"interpret technical requirements","skill"
"perform metal work","skill"
"perform manual work autonomously","skill"
"assess financial viability","skill"
"business valuation techniques","skill"
"corporate law","skill"
"analyse business plans","skill"
"manage corporate bank accounts","skill"
"credit card payments","skill"
"handle tasks independently","skill"
"perform escalation procedure","skill"
"provide ICT support","skill"
"apply operations for an ITIL-based environment","skill"
"prioritise requests","skill"
"slaughter fur animals","skill"
"skin animals","skill"
"assist animal birth","skill"
"audit techniques","skill"
"advise legislators","skill"
"present legislation proposition","skill"
"implement strategic management","skill"
"prepare legislation proposition","skill"
"perform political negotiation","skill"
"constitutional law","skill"
"distribute control signals","skill"
"prevent technical problems with lighting equipment","skill"
"light a show","skill"
"manage consumables stock","skill"
"rig automated lights","skill"
"maintain automated lighting equipment","skill"
"rig lights","skill"
"maintain lighting equipment","skill"
"manage signoff of an installed system","skill"
"maintain dimmer equipment","skill"
"provide power distribution","skill"
"Bible texts","skill"
"interpret religious texts","skill"
"provide charity services","skill"
"coordinate charity services","skill"
"present a cause","skill"
"conduct religious missions","skill"
"represent religious institution","skill"
"develop policies on religion-related matters","skill"
"teach religious texts","skill"
"foster dialogue in society","skill"
"guide conversion","skill"
"promote religious activities","skill"
"preventive medicine","skill"
"teach housekeeping skills","skill"
"administer prescribed medication","skill"
"build community relations","skill"
"perform religious ceremonies","skill"
"handle medical emergencies without doctor","skill"
"provide spiritual counselling","skill"
"perform fundraising activities","skill"
"perform church service","skill"
"support other national representatives","skill"
"conduct educational activities","skill"
"manage fundraising activities","skill"
"reinforce positive behaviour","skill"
"prepare religious services","skill"
"mechanics of trains","skill"
"property law","skill"
"manage personnel","skill"
"collect rental fees","skill"
"supervise property development projects","skill"
"create insurance policies","skill"
"concurrent estate","skill"
